config_id,proposal_id,seed,n_nodes,n_edges,mean_degree,max_degree,min_degree,degree_gini,global_clustering,mean_path_length,modularity,n_components,largest_component_size,is_connected,attempts
12,aesthetic_objectivity,12003,100,305,6.1,14,1,0.19531147540983596,0.070992451992452,2.7123232323232322,0.3644074173609245,1,100,True,1
12,meaning_of_life,12004,100,328,6.56,15,1,0.22277439024390233,0.0801013986013986,2.654141414141414,0.32241783164782867,1,100,True,1
12,regifting,12005,100,320,6.4,13,1,0.2289062500000001,0.06961638361638361,2.6472727272727274,0.34955078125,1,100,True,1
12,shared_workplace,12006,100,282,5.64,12,1,0.23663120567375895,0.0844848484848485,2.852121212121212,0.3775715507268246,1,100,True,1
13,srma,13000,100,307,6.14,12,1,0.22071661237785012,0.059753968253968254,2.7234343434343433,0.3537278910121062,1,100,True,1
13,wealth_tax,13001,100,300,6.0,14,1,0.21876666666666655,0.07043523143523144,2.744242424242424,0.35085,1,100,True,1
13,un_veto,13002,100,315,6.3,12,2,0.21844444444444444,0.06548051948051949,2.6616161616161618,0.3431040564373898,1,100,True,1
13,aesthetic_objectivity,13003,100,278,5.56,14,1,0.21413669064748198,0.07137889887889887,2.855757575757576,0.38821748356710317,1,100,True,1
13,meaning_of_life,13004,100,319,6.38,14,2,0.2269905956112852,0.08391280941280942,2.662020202020202,0.3416190878627372,1,100,True,1
13,regifting,13005,100,309,6.18,13,1,0.23530744336569587,0.08338034188034188,2.7183838383838386,0.3487238298719117,1,100,True,1
13,shared_workplace,13006,100,304,6.08,15,2,0.1942105263157894,0.07632905982905983,2.7062626262626264,0.3609331717451523,1,100,True,1
14,srma,14000,100,308,6.16,13,2,0.18948051948051958,0.10981546231546231,2.7555555555555555,0.3996985157699443,1,100,True,1
14,wealth_tax,14001,100,289,5.78,13,1,0.2130795847750866,0.1383068598068598,2.907070707070707,0.4358065636187306,1,100,True,1
14,un_veto,14002,100,310,6.2,15,1,0.21551612903225803,0.1317950937950938,2.7755555555555556,0.4062643080124869,1,100,True,1
14,aesthetic_objectivity,14003,100,288,5.76,12,1,0.2097916666666666,0.10426911976911978,2.876969696969697,0.4391577449845679,1,100,True,1
14,meaning_of_life,14004,100,288,5.76,12,1,0.21340277777777783,0.09444227994227994,2.849090909090909,0.41805314429012347,1,100,True,1
14,regifting,14005,100,301,6.02,14,1,0.21548172757475093,0.1391209346209346,2.9723232323232325,0.4260935309764793,1,100,True,1
14,shared_workplace,14006,100,316,6.32,14,1,0.21167721518987337,0.11594838494838494,2.7191919191919194,0.40194379907066174,1,100,True,1
15,srma,15000,100,280,5.6,11,1,0.21217857142857133,0.1551038961038961,2.9626262626262627,0.5062244897959183,1,100,True,1
15,wealth_tax,15001,100,273,5.46,12,1,0.22882783882783886,0.12172005772005771,2.962828282828283,0.46998483811670627,1,100,True,1
15,un_veto,15002,100,283,5.66,12,1,0.22674911660777375,0.14054834054834056,2.9345454545454546,0.49740288928566967,1,100,True,1
15,aesthetic_objectivity,15003,100,307,6.14,13,2,0.2074592833876221,0.13764524364524364,2.873131313131313,0.49626521236299587,1,100,True,1
15,meaning_of_life,15004,100,290,5.8,13,1,0.2152068965517242,0.13432911532911532,2.935151515151515,0.5017003567181927,1,100,True,1
15,regifting,15005,100,311,6.22,12,2,0.1784887459807074,0.12447474747474746,2.8082828282828283,0.47833459124698874,1,100,True,1
15,shared_workplace,15006,100,308,6.16,13,1,0.20474025974025967,0.15436446886446886,2.875757575757576,0.49701151121605663,1,100,True,1
16,srma,16000,100,315,6.3,10,2,0.15955555555555545,0.42376984126984124,3.2664646464646463,0.6634567901234568,1,100,True,1
16,wealth_tax,16001,100,300,6.0,10,1,0.1762999999999999,0.4209920634920635,3.488888888888889,0.7340555555555556,1,100,True,1
16,un_veto,16002,100,297,5.94,12,3,0.15175084175084175,0.409489898989899,3.41030303030303,0.7061410967134872,1,100,True,1
16,aesthetic_objectivity,16003,100,304,6.08,11,2,0.17710526315789465,0.4033138528138528,3.2696969696969695,0.7044721693213296,1,100,True,1
16,meaning_of_life,16004,100,295,5.9,10,2,0.18850847457627107,0.3957380952380952,3.4690909090909092,0.7093593794886527,1,100,True,1
16,regifting,16005,100,298,5.96,11,2,0.17818791946308732,0.44067604617604617,3.5973737373737373,0.7317125354713752,1,100,True,1
16,shared_workplace,16006,100,293,5.86,10,2,0.16890784982935148,0.37532539682539684,3.544040404040404,0.6865834197253317,1,100,True,1
17,srma,17000,100,301,6.02,12,2,0.21803986710963463,0.2504509379509379,3.3541414141414143,0.7058145053586605,1,100,True,1
17,wealth_tax,17001,100,297,5.94,11,1,0.21074074074074067,0.25046392496392494,3.550707070707071,0.7165652030971896,1,100,True,1
17,un_veto,17002,100,319,6.38,12,2,0.16664576802507836,0.23188167388167386,3.235353535353535,0.6986812236514971,1,100,True,1
